track_id,track_title,artist_name,release_date,genre,duration_sec,ownership_share_pct,catalog_weight_hint,is_focus_track,is_explicit,language,territory_origin
TRK_H_001,Viral Dance 1,DJ Trend,2020-03-23,World,157,50.0,21.77354349963607,True,False,en,BR
TRK_H_002,Global Sound 2,DJ Trend,2021-08-17,World,149,65.0,10.886771749818035,False,False,es,BR
TRK_H_003,Global Sound 3,DJ Trend,2024-05-17,Electronic,168,65.0,2.7310230099287063,False,False,es,BR
TRK_H_004,Global Sound 4,DJ Trend,2022-11-05,Electronic,146,65.0,1.980092294000145,False,False,en,BR
TRK_H_005,Global Sound 5,DJ Trend,2024-01-15,World,150,65.0,0.8685234206280461,False,False,en,BR
TRK_H_006,Global Sound 6,DJ Trend,2020-08-11,World,172,65.0,2.28535505650602,False,False,es,BR
TRK_H_007,Global Sound 7,DJ Trend,2021-05-18,World,163,65.0,0.7918092330193105,False,False,es,BR
TRK_H_008,Global Sound 8,DJ Trend,2020-05-29,World,158,65.0,1.4485548765462595,False,False,es,BR
TRK_H_009,Global Sound 9,DJ Trend,2023-08-03,World,157,65.0,1.7075382937446049,False,False,es,BR
TRK_H_010,Global Sound 10,DJ Trend,2020-02-24,Electronic,176,65.0,2.053206537808389,False,False,es,BR
TRK_H_011,Global Sound 11,DJ Trend,2023-12-04,World,173,65.0,2.2539061075459403,False,False,en,BR
TRK_H_012,Global Sound 12,DJ Trend,2022-09-25,Electronic,157,65.0,2.4424280383352657,False,False,es,BR
TRK_H_013,Global Sound 13,DJ Trend,2019-03-31,World,144,65.0,2.6943390766637414,False,False,en,BR
TRK_H_014,Global Sound 14,DJ Trend,2019-09-20,Electronic,137,65.0,0.9033036294825427,False,False,en,BR
TRK_H_015,Global Sound 15,DJ Trend,2022-10-15,World,172,65.0,1.4772545048677266,False,False,en,BR
TRK_H_016,Global Sound 16,DJ Trend,2020-08-02,World,183,65.0,1.0929219567236184,False,False,en,BR
TRK_H_017,Global Sound 17,DJ Trend,2021-06-28,World,176,65.0,2.4694579490502515,False,False,en,BR
TRK_H_018,Global Sound 18,DJ Trend,2020-07-07,Electronic,165,65.0,0.635241129411002,False,False,en,BR
TRK_H_019,Global Sound 19,DJ Trend,2021-09-29,World,174,65.0,3.0190380095591585,False,False,es,BR
TRK_H_020,Global Sound 20,DJ Trend,2019-06-02,Electronic,161,65.0,1.6470615076358122,False,False,en,BR
TRK_H_021,Global Sound 21,DJ Trend,2019-06-26,Electronic,164,65.0,2.6140104365033023,False,False,es,BR
TRK_H_022,Global Sound 22,DJ Trend,2023-10-23,Electronic,165,65.0,1.833763412860962,False,False,en,BR
TRK_H_023,Global Sound 23,DJ Trend,2022-04-05,World,182,65.0,1.3246994414361828,False,False,es,BR
TRK_H_024,Global Sound 24,DJ Trend,2021-04-30,Electronic,141,65.0,2.589126048124221,False,False,es,BR
TRK_H_025,Global Sound 25,DJ Trend,2019-11-30,Electronic,168,65.0,0.8085876008350794,False,False,en,BR
TRK_H_026,Global Sound 26,DJ Trend,2019-10-17,Electronic,146,65.0,1.66664986764419,False,False,en,BR
TRK_H_027,Global Sound 27,DJ Trend,2020-07-13,Electronic,186,65.0,1.3108733628014408,False,False,en,BR
TRK_H_028,Global Sound 28,DJ Trend,2021-09-09,World,201,65.0,1.6065548665672873,False,False,en,BR
TRK_H_029,Global Sound 29,DJ Trend,2021-08-08,World,155,65.0,2.9152303710355403,False,False,en,BR
TRK_H_030,Global Sound 30,DJ Trend,2021-05-09,World,144,65.0,0.7654628493366158,False,False,es,BR
TRK_H_031,Global Sound 31,DJ Trend,2020-12-05,World,153,65.0,2.062855899030495,False,False,en,BR
TRK_H_032,Global Sound 32,DJ Trend,2022-08-16,World,164,65.0,2.034558767196108,False,False,es,BR
TRK_H_033,Global Sound 33,DJ Trend,2023-07-04,Electronic,189,65.0,1.4484933358720427,False,False,en,BR
TRK_H_034,Global Sound 34,DJ Trend,2023-09-19,World,137,65.0,3.19327744354152,False,False,es,BR
TRK_H_035,Global Sound 35,DJ Trend,2019-07-03,World,193,65.0,1.32349422070292,False,False,en,BR
TRK_H_036,Global Sound 36,DJ Trend,2022-09-23,Electronic,121,65.0,1.9276594319488793,False,False,en,BR
TRK_H_037,Global Sound 37,DJ Trend,2022-03-16,Electronic,178,65.0,0.9470150605924679,False,False,es,BR
TRK_H_038,Global Sound 38,DJ Trend,2020-02-08,Electronic,176,65.0,1.078971576568302,False,False,es,BR
TRK_H_039,Global Sound 39,DJ Trend,2021-06-19,Electronic,176,65.0,2.8327924723806226,False,False,es,BR
TRK_H_040,Global Sound 40,DJ Trend,2021-12-31,Electronic,179,65.0,0.5545536541111817,False,False,es,BR
